"Bq" "Long" "Lat" "D"
"69" "3.4" "78.057" "36.206" "U"
"70" "3.8" "78.607" "36.139" "U"
"71" "3.7" "77.993" "35.139" "U"
"72" "7.8" "78.468" "35.592" "V"
"73" "4.5" "78.107" "35.849" "U"
"74" "4.4" "78.525" "35.888" "U"
"75" "4.8" "78.171" "36.105" "U"
"76" "3.2" "78.797" "35.525" "U"
"77" "2.5" "79.101" "35.759" "U"
"78" "5" "78.962" "35.067" "U"
"79" "8.1" "78.316" "35.424" "V"
"80" "2.9" "77.962" "35.413" "U"
"81" "4" "78.804" "36.128" "U"
"82" "4.1" "78.019" "34.905" "U"
"83" "5.3" "78.329" "36.117" "U"
"84" "3.7" "77.955" "35.324" "U"
"85" "4.9" "78.607" "35.19" "U"
"86" "3.6" "78.886" "35.474" "U"
"87" "5.1" "78.747" "35.357" "U"
"88" "4.1" "78.595" "36.05" "U"
"89" "4.3" "78.012" "35.659" "U"
"90" "4.1" "78.101" "34.81" "U"
"91" "4.7" "77.816" "34.866" "U"
"92" "3.4" "79.088" "35.999" "U"
"93" "4.6" "77.823" "35.664" "U"
"94" "8" "78.24" "35.43" "V"
"95" "6.2" "78.152" "35.447" "V"
"96" "4.1" "78.645" "35.77" "U"
"97" "3" "78.019" "36.245" "U"
"98" "3.3" "78.747" "35.664" "U"
"99" "3.7" "77.81" "35.96" "U"
"100" "4.5" "77.886" "35.983" "U"
"101" "3.9" "78.924" "36.105" "U"
"102" "4.3" "78.038" "35.681" "U"
"103" "4.4" "79.082" "35.385" "U"
"104" "3.9" "78.025" "34.888" "U"
"105" "4.8" "78.949" "34.983" "U"
"106" "4.8" "77.626" "35.765" "U"
"107" "3.8" "78.911" "35.832" "U"
"108" "4.7" "78.93" "34.911" "U"
"109" "2.7" "77.747" "35.206" "U"
"110" "4.7" "78.804" "35.329" "U"
"111" "8.2" "78.614" "35.687" "V"
"112" "3.3" "78.626" "35" "U"
"113" "4.5" "77.898" "34.933" "U"
"114" "3.3" "78.728" "36.111" "U"
"115" "2.9" "78.006" "35.519" "U"
"116" "5.7" "79.025" "35.184" "U"
"117" "6" "78.234" "35.96" "U"
"118" "3.4" "79.012" "35.983" "U"
"119" "3.3" "77.81" "35.391" "U"
"120" "5.9" "78.272" "36.027" "U"
"121" "3.7" "77.797" "36.306" "U"
"122" "8.7" "78.43" "35.72" "V"
"123" "5" "78.139" "36.016" "U"
"124" "3.7" "77.823" "36.133" "U"
"125" "2.1" "78.702" "34.871" "U"
"126" "2.7" "79.114" "35.72" "U"
"127" "3.9" "78.879" "35.05" "U"
"128" "4.4" "78.823" "35.056" "U"
"129" "2.5" "78.12" "35.547" "U"
"130" "2.9" "77.968" "35.424" "U"
"131" "4.5" "78.5" "36.016" "U"
"132" "4.4" "77.829" "34.827" "U"
"133" "3.7" "77.759" "35.921" "U"
"134" "4.7" "78.133" "35.843" "U"
"135" "9" "78.563" "35.67" "V"
"136" "3.8" "78.595" "36.111" "U"
"137" "3.6" "78.816" "36.256" "U"
"138" "4.7" "78.696" "35.195" "U"
"139" "3.4" "79.095" "35.804" "U"
"140" "3.4" "77.791" "35.402" "U"
"141" "9.1" "78.512" "35.368" "V"
"142" "8.4" "78.614" "35.502" "V"
"143" "4.3" "78.474" "35.826" "U"
"144" "3.9" "78.924" "35.86" "U"
"145" "3.9" "78.974" "35.999" "U"
"146" "3.9" "78.512" "35.084" "U"
"147" "5.1" "79.044" "34.972" "U"
"148" "4.6" "77.633" "35.877" "U"
"149" "4.5" "78.829" "35.988" "U"
"150" "3.8" "78.905" "35.96" "U"
"151" "1.8" "78.626" "34.866" "U"
"152" "3.8" "78.031" "34.894" "U"
"153" "4.8" "78.076" "35.687" "U"
"154" "4.8" "78.285" "35.86" "U"
"155" "4.2" "78.057" "35.994" "U"
"156" "7.8" "78.379" "35.642" "V"
"157" "9.3" "78.538" "35.67" "V"
"158" "3.6" "78.626" "36.178" "U"
